code,kind,name,price,comment,score,province,city,star
tehran-amir,hotel,هتل امیر,۳۵۸۰۰۰,(۸),۳.۶,تهران,تهران,(۳ ستاره)
tehran-ferdowsii,hotel,هتل فردوسی,۲۵۰۰۰۰,(۱),۴,تهران,تهران,(۲ ستاره)
tehran-mina,hotel,هتل مینا,۳۳۰۰۰۰,(۱۴),۴,تهران,تهران,(۲ ستاره)
tehran-bahar,hotel,هتل بهار,۴۱۴۰۰۰,(۳۲),۳.۵,تهران,تهران,(۳ ستاره)
Tehran-asia,hotel,هتل آسیا,۲۸۰۰۰۰,(۱۳),۳.۲,تهران,تهران,(۱ ستاره)
tehran-ibis,hotel,هتل ایبیس,۲۳۰۰۰۰,(۸۷),۴.۲,تهران,تهران,(۴ ستاره)
tehran-alvand,hotel,هتل اسکان الوند,۸۵۵۰۰۰,(۲),۴.۸,تهران,تهران,(۴ ستاره)
tehran-elyan,hotel,هتل الیان,۴۶۱۶۰۰,(۲),۱.۹,تهران,تهران,(۲ ستاره)
tehran-howeyzeh,hotel,هتل هویزه,۷۵۰۰۰۰,(۱۲),۳.۹,تهران,تهران,(۴ ستاره)
tehran-khayyam,hotel,هتل خیام,۲۲۰۰۰۰,(۳۷),۳.۸,تهران,تهران,(۲ ستاره)
tehran-Persianpelaza,hotel,هتل پرشین پلازا,۴۶۵۰۰۰,(۵۱),۴.۵,تهران,تهران,(۵ ستاره)
tehran-Avrin,hotel,هتل اورین,۵۳۰۰۰۰,(۶۰),۳.۶,تهران,تهران,(۲ ستاره)
tehran-kowsar,hotel,هتل پارسیان کوثر,۴۳۶۰۰۰,(۴۲),۳.۸,تهران,تهران,(۴ ستاره)
tehran-pariz,hotel,هتل پاریز,۴۲۵۰۰۰,(۳۱),۲.۹,تهران,تهران,(۴ ستاره)
tehran-espinas,hotel,هتل اسپیناس خلیج فارس,۷۱۵۰۰۰,(۱),۲,تهران,تهران,(۵ ستاره)
tehran-novotel,hotel,هتل نووتل,۵۸۳۰۰۰,(۳۰),۴,تهران,تهران,(۵ ستاره)
tehran-aran,hotel,هتل آران,۲۷۵۰۰۰,(۲۱),۳.۶,تهران,تهران,(۱ ستاره)
tehran-diamond,hotel,هتل دیاموند,۳۸۵۰۰۰,(۱۴),۲.۸,تهران,تهران,(۳ ستاره)
tehran-simorgh,hotel,هتل سیمرغ,۶۵۵۰۰۰,(۱۹),۴.۵,تهران,تهران,(۴ ستاره)
tehran-atana,hotel,هتل آتانا,۷۷۷۰۰۰,(۵),۴.۹,تهران,تهران,(۴ ستاره)
tehran-olympic,hotel,هتل المپیک,۷۰۵۰۰۰,(۹),۳.۷,تهران,تهران,(۴ ستاره)
tehran-alborz,hotel,هتل البرز,۳۴۷۰۰۰,(۵),۳.۶,تهران,تهران,(۳ ستاره)
tehran-grand,hotel,هتل بزرگ,۵۸۰۰۰۰,(۱۴),۳.۸,تهران,تهران,(۴ ستاره)
tehran-haali,hotel,هتل هالی,۴۳۰۰۰۰,(۱۵),۳.۸,تهران,تهران,(۳ ستاره)
tehran-saina,hotel,هتل ساینا,۴۹۵۰۰۰,(۲),۳.۷,تهران,تهران,(۳ ستاره)
tehran-atlas,hotel,هتل اطلس,۵۲۲۰۰۰,,,تهران,تهران,(۲ ستاره)
tehran-aramis,hotel,هتل آرامیس,۶۳۵۰۰۰,(۶),۴,تهران,تهران,(۴ ستاره)
tehran-grandhotel,hotel,هتل بزرگ ۲,۵۶۴۰۰۰,(۵),۴,تهران,تهران,(۴ ستاره)
tehran-azadi,hotel,هتل پارسیان آزادی,۵۷۰۰۰۰,(۸),۴.۶,تهران,تهران,(۵ ستاره)
tehran-toobaboutique,hotel,هتل بوتیک طوبی,۶۵۰۰۰۰,(۱),۴,تهران,تهران,(۳ ستاره)
tehran-evin,hotel,هتل پارسیان اوین,۵۲۵۰۰۰,(۵۵),۴,تهران,تهران,(۴ ستاره)
tehran-amatis,hotel,هتل آماتیس,۴۵۰۰۰۰,,,تهران,تهران,(۳ ستاره)
tehran-sasan,hotel,هتل ساسان,۳۸۵۰۰۰,(۱۱),۳.۳,تهران,تهران,(۲ ستاره)
tehran-morvarid,hotel,هتل مروارید,۳۸۶۰۰۰,(۱۴),۳.۲,تهران,تهران,(۳ ستاره)
tehran-balut,hotel,هتل بلوط,۵۰۰۰۰۰,(۲۰),۴,تهران,تهران,(۳ ستاره)
