code,kind,name,price,comment,score,province,city,star
anzali-behesht,hotel,هتل بهشت تالاب,,(۱۰),۳.۲,گیلان,بندر انزلی,(۴ ستاره)
80c935dad5,hotel,هتل خلیج فارس,,,,گیلان,آستارا,(۱ ستاره)
bandaranzali-safir,hotel,هتل سفیر,,(۱),۱.۲,گیلان,بندر انزلی,(۳ ستاره)
bandaranzali-deniz,hotel,هتل دنیز,,(۲),۱.۶,گیلان,بندر انزلی,(۴ ستاره)
7f6bf1d1c8,hotel,هتل جهانگردی,,,,گیلان,بندر انزلی,(۱ ستاره)
rasht-ghadir,hotel,هتل غدیر,,(۲),۲.۹,گیلان,رشت,(۲ ستاره)
c1bebfda64,hotel,هتل برلیان,,,,گیلان,آستارا,(۱ ستاره)
1a03f47ac9,hotel,هتل  راتینس,,,,گیلان,ماسال,(۴ ستاره)
taalesh-hodhod,hotel,هتل هدهد,,(۹),۳.۹,گیلان,اسالم,(۳ ستاره)
65bdbe332b,hotel,هتل مهستان,,(۹),۳.۳,گیلان,تالش,(۱ ستاره)
fff35c3fce,hotel,هتل  قصرنگین,,,,گیلان,تالش,(۱ ستاره)
d659513fcd,hotel,هتل تخت جمشید,,,,گیلان,آستارا,(۱ ستاره)
lahijan-abrishami,hotel,هتل ابریشمی,,(۶),۲.۶,گیلان,لاهیجان,(۴ ستاره)
fooman-moein,hotel,هتل معین,,(۱۲),۴.۳,گیلان,فومن,(۵ ستاره)
rasht-pardis,hotel,هتل پردیس,,(۱۷),۲.۶,گیلان,رشت,(۲ ستاره)
rasht-saboori,hotel,هتل صبوری,,(۱۲),۲.۸,گیلان,رشت,(۳ ستاره)
05f030f988,hotel,هتل زیتون,,,,گیلان,رودبار,(۱ ستاره)
bandaranzali-kadoosan,hotel,هتل کادوسان,,(۱۰),۳.۴,گیلان,بندر انزلی,(۳ ستاره)
bandaranzali-dolphin,hotel,هتل دلفین,,(۲),۳.۸,گیلان,بندر انزلی,(۴ ستاره)
bandaranzali-persian,hotel,هتل پرشین,,(۲۸),۴.۲,گیلان,بندر انزلی,(۳ ستاره)
bandaranzali-sefidkenar,hotel,هتل سفید کنار,,(۱۷),۴.۳,گیلان,بندر انزلی,(۴ ستاره)
roodsar-padida,hotel,هتل پدیدار خزر,,(۱),۱.۶,گیلان,رودسر,(۴ ستاره)
talesh-livador,hotel,هتل لیوادر,,(۳),۲.۳,گیلان,تالش,(۳ ستاره)
rasht-pamchal,hotel,هتل پامچال,,(۲۰),۳.۲,گیلان,رشت,(۳ ستاره)
rasht-kadus,hotel,هتل کادوس,,(۲۱),۳,گیلان,رشت,(۵ ستاره)
astara-safir,hotel,هتل سفیر,,(۱),۴.۴,گیلان,آستارا,(۳ ستاره)
lahijan-respina,hotel,هتل رسپینا,,(۸),۳.۶,گیلان,لاهیجان,(۵ ستاره)
lahijan-dehdar,hotel,هتل دهدار,,(۱۷),۳.۲,گیلان,لاهیجان,(۴ ستاره)
masa-shanderman,hotel,هتل شاندرمن,,(۳),۳.۱,گیلان,ماسال,(۳ ستاره)
eed3143291,hotel,هتل  رویال,,,,گیلان,ماسال,(۱ ستاره)
masal-fardinmasumi,hotel,هتل فردین معصومی,,(۱۳),۲,گیلان,ماسال,(۳ ستاره)
c1d7b29aa5,hotel,هتل ساحلی کادوس,,,,گیلان,زیباکنار,(۱ ستاره)
lahijan-jahangiri,hotel,هتل جهانگردی لاهیجان,,(۶),۳.۸,گیلان,لاهیجان,(۳ ستاره)
lahijan-fajr,hotel,هتل فجر آبشار,,(۸),۳.۹,گیلان,لاهیجان,(۳ ستاره)
317e1a1f94,hotel,هتل طاووس,,,,گیلان,فومن,(۱ ستاره)
masal-marzban,hotel,هتل مرزبانی,,(۱۲),۳.۵,گیلان,ماسال,(۳ ستاره)
masooleh-aram,hotel,هتل آرام,,(۴),۴.۱,گیلان,ماسوله,(۳ ستاره)
masoole-mehran,hotel,هتل مهران,,(۱۱),۲.۵,گیلان,ماسوله,(۱ ستاره)
bandaranzali-melal,hotel,هتل ملل,,(۷),۴.۱,گیلان,بندر انزلی,(۳ ستاره)
anzali-nakhl,hotel,هتل نخل,,(۲),۴.۴,گیلان,بندر انزلی,(۲ ستاره)
1a59dc181a,hotel,هتل یاس,,(۱),۵,گیلان,بندر انزلی,(۴ ستاره)
bandaranzali-jahangardi,hotel,هتل جهانگردی نمونه,,(۱),۳.۸,گیلان,بندر انزلی,(۲ ستاره)
anzali-arks,hotel,هتل آرکا,,,,گیلان,بندر انزلی,(۳ ستاره)
bb11335ce8,hotel,هتل پاپیون,,,,گیلان,رودسر,(۱ ستاره)
lahijan-mandegar,hotel,هتل ماندگار,,(۳),۳.۳,گیلان,چمخاله,(۳ ستاره)
lahijan-royaye rasti,hotel,هتل رویایی راستی,,(۱),۲.۴,گیلان,چمخاله,(۳ ستاره)
rezvanshahr-pardissokoti,hotel,هتل پردیس سکوتی,,,,گیلان,رضوانشهر,(۲ ستاره)
astara-negin-esteel,hotel,هتل نگین استیل,,,,گیلان,آستارا,(۳ ستاره)
rasht-shabestan,hotel,هتل شبستان,,(۶),۳.۷,گیلان,رشت,(۴ ستاره)
rasht-ordibehesht,hotel,هتل اردیبهشت,,(۱۴),۲.۲,گیلان,رشت,(۲ ستاره)
rasht-park,hotel,هتل پارک,,(۳),۱.۶,گیلان,رشت,(۲ ستاره)
rasht-ghadir,hotel,هتل غدیر,,(۲),۲.۹,گیلان,رشت,(۲ ستاره)
rasht-pardis,hotel,هتل پردیس,,(۱۷),۲.۶,گیلان,رشت,(۲ ستاره)
rasht-saboori,hotel,هتل صبوری,,(۱۲),۲.۸,گیلان,رشت,(۳ ستاره)
rasht-pamchal,hotel,هتل پامچال,,(۲۰),۳.۲,گیلان,رشت,(۳ ستاره)
rasht-kadus,hotel,هتل کادوس,,(۲۱),۳,گیلان,رشت,(۵ ستاره)
rasht-shabestan,hotel,هتل شبستان,,(۶),۳.۷,گیلان,رشت,(۴ ستاره)
chalus-azadi,hotel,هتل پارسیان آزادی خزر,,(۲۳),۴,مازندران,چالوس,(۵ ستاره)
chaloos-venus,hotel,هتل ونوس  پلاس,,(۲۲),۳.۷,مازندران,چالوس,(۵ ستاره)
ramsar-baam,hotel,هتل بام,,(۲۰),۴.۲,مازندران,رامسر,(۴ ستاره)
babolsar-mizban,hotel,هتل میزبان,,(۱),۵,مازندران,بابلسر,(۴ ستاره)
babolsar-marziyeh,hotel,هتل مجتمع توریستی مرضیه,,,,مازندران,بابلسر,(۴ ستاره)
saari-salardeh,hotel,هتل سالاردره,,(۱۸),۳.۹,مازندران,ساری,(۴ ستاره)
ramsar-lido,hotel,هتل لیدو,,(۳),۲.۸,مازندران,رامسر,(۳ ستاره)
babolsar-miizban,hotel,هتل میزبان (پنج ستاره),,(۴),۳.۹,مازندران,بابلسر,(۵ ستاره)
chaloos-kakhe-amiran,hotel,هتل کاخ امیران,,(۱),۱,مازندران,چالوس,(۴ ستاره)
mahmudabad-mahan,hotel,هتل ماهان,,(۸),۳.۹,مازندران,محمودآباد,(۳ ستاره)
ramsar-neyestan,hotel,هتل نیستان,,(۶),۳,مازندران,رامسر,(۳ ستاره)
fereydoonkenar-kish,hotel,هتل کیش مهر,,(۸),۴.۳,مازندران,فریدون کنار,(۳ ستاره)
abbasabad-almas,hotel,هتل الماس,,(۶),۳.۱,مازندران,عباس آباد,(۴ ستاره)
izadshahr-baran,hotel,هتل باران,,(۳),۳.۳,مازندران,ایزدشهر,(۳ ستاره)
mahmoodabad-oxin,hotel,هتل اکسین,,(۱۰),۳.۵,مازندران,محمودآباد,(۲ ستاره)
